trigger_id,initiating_owner_key,decision_owner_key,trigger_family,trigger_name,admission_event,movement_class,principal_selector_rule,required_or_possible_named_roles,aggregate_profile_candidate,origin_rule,destination_rule,timing_rule,host_or_receiver_rule,completion_disposition,matter_if,downstream_effects,journey_service_is_execution_owner,source_candidate_only,runtime_authority,authority_boundary
JRN-040,courtos.responsibility.security_asset_protection,courtos.responsibility.security_asset_protection,security,Routine watch-command or security circuit,An owner/supporter covers multiple security scopes under accepted assignments.,derived_service_mobility,assigned_security_actor,owner/supporter; resident local postholders remain local,security_circuit,actual_admitted_presence_at_departure_cutpoint,exact security scopes,annual derived itinerary,security/access authority required,coverage_completed_or_undercovered,route load creates uncovered assets or incompatible presence,PAS/presence; security coverage and exception evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-041,courtos.responsibility.security_asset_protection,courtos.responsibility.security_asset_protection,security,Cross-location protective response,"A qualified threat, breach, loss, or escort Matter requires a named officer outside current location.",named_journey,competent_security_actor,security owner/delegate; escort commander; protected person/custodian if moved,protected_response,actual_admitted_presence_at_departure_cutpoint,affected admitted asset/person/custody location,qualified response window,authority and safe route/support required,return_remain_or_transfer,"response is unauthorized, route blocked, or origin security would become untenable",response result; absence/coverage; loss/custody evidence; possible justice referral,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-042,courtos.responsibility.martial_readiness_training,courtos.responsibility.martial_readiness_training,readiness,"Annual roll, training, and readiness circuit",An accepted readiness portfolio spans multiple catchments or exercise locations.,derived_service_mobility,assigned_readiness_actor,owner/supporter; local common manpower remains aggregate LCU capacity,readiness_circuit,actual_admitted_presence_at_departure_cutpoint,exact obligation catchments/exercise locations,annual training/roll plan,competent public/tenure authority and local access required,coverage_completed_or_undercovered,"travel, labor, security, or authority makes the annual plan infeasible",PAS/presence; roll/training evidence; readiness assessment,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-043,service.call_to_arms_service,service.call_to_arms_service,martial_activation,Lawful or unlawful call to arms response,A competent call/summons or explicitly modeled unlawful call is issued; the standing readiness responsibility does not create it.,named_journey,called_named_person_or_appointed_commander,called named service people; commander/officer; household/support party only where service terms require,military_service_party,actual_admitted_presence_at_departure_cutpoint,muster/service destination supplied by the call,call deadline/window,call supplies authority; route/security/support remain required,service_return_release_loss_or_failure,"refusal, substitution, exemption, route, supply, absence, or authority issue arises",service/absence/casualty/release/return receipts; separate Call to Arms Engine,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-044,courtos.responsibility.martial_stores_horse_capacity,courtos.responsibility.martial_stores_horse_capacity,martial_support,Martial stores or horse-capacity inspection circuit,"One owner/supporter covers multiple armory, stable, or support scopes.",derived_service_mobility,assigned_martial_support_actor,owner/supporter; resident custodians remain local,martial_support_circuit,actual_admitted_presence_at_departure_cutpoint,exact admitted support scopes,annual derived itinerary,custody/access/security required,coverage_completed_or_undercovered,"route load, custody, or security makes inspection infeasible",PAS/presence; semantic sufficiency/condition evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-045,courtos.responsibility.martial_stores_horse_capacity,courtos.responsibility.martial_stores_horse_capacity,martial_support,Martial repair or procurement delivery,A qualified repair/procurement request is accepted by the material gateway.,background_transport,no_named_noble_by_default,named custodian only if an admitted post actually performs delivery/handover,martial_freight,actual_admitted_presence_at_departure_cutpoint,exact secure receiving store/support location,qualified delivery window,custody/security acceptance required,delivered_or_failed,"supply, route, custody, fee, or security fails",delivery/custody/material receipt; readiness implication,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-046,event.court_or_great_council_occasion,courtos.responsibility.external_relations_representation,court_and_politics,"Court, liege, or Great Council attendance","A declared occasion, invitation, or competent summons is accepted or lawfully compels attendance and a representative is selected.",named_journey,selected_attendee_or_representative,HoH or delegate; required vassal/officeholder; spouse/heir only if invited/required; clerk/chaplain as purpose requires,court_retinue,actual_admitted_presence_at_departure_cutpoint,declared court/council seat,occasion dates and route-feasible departure,host/court acceptance unless competent summons controls,return_or_onward,"attendance, delegation, timing, route, support, or authority fails",attendance/advice/decision/report; hosting; PAS/presence; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-047,courtos.responsibility.external_relations_representation,courtos.responsibility.external_relations_representation,external_relations,"Formal representation, audience, mediation, or diplomatic visit","The HoH/owner selects a target entity, posture, representative, and bounded purpose that requires presence.",named_journey,appointed_diplomat_or_HoH,representative; clerk/interpreter/chaplain where purpose requires; selected companion/escort,individual_or_small_retinue,actual_admitted_presence_at_departure_cutpoint,"accepted House, Church institution, court, or competent polity setting",accepted audience/mission window,recipient audience/host acceptance required unless formal summons applies,return_or_onward,"purpose is too vague, authority absent, audience refused, route fails, or report is not returned",contact/report; reverse-ART Knowledge evidence; actual ART evidence; hospitality; marriage/social opportunity,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-048,courtos.responsibility.external_relations_representation,courtos.responsibility.external_relations_representation,external_relations,Sustained presence at another court or institution,A named representative/companion receives an admitted service/attendance placement at another entity.,named_journey,appointed_representative_or_companion,representative/companion; spouse/dependants only if placement includes them; escort for transfer,household_transfer_or_small_retinue,actual_admitted_presence_at_departure_cutpoint,accepted court/institutional residence,placement effective month,receiving entity and support/residence acceptance required,remain_or_return,"placement, support, residence, authority, or route fails",residence/service commitment; relationship access; Knowledge/ART; origin Household change,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-049,courtos.responsibility.external_relations_representation,courtos.responsibility.external_relations_representation,external_relations,Routine relationship contact,"The target portfolio is cultivated through ordinary correspondence, reception, or local contact without an admitted audience/visit.",local_or_remote_no_journey,assigned_relationship_owner,owner/supporter at current location,not_applicable,actual_admitted_presence_at_departure_cutpoint,remote target entity,triennial posture with organic annual contacts,recipient response may occur through correspondence,report_or_no_response,relationship intelligence remains thin or contact fails,Knowledge/ART contribution and correspondence; no travel,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-050,courtos.responsibility.household_observance_chaplaincy,courtos.responsibility.household_observance_chaplaincy,church_and_rite,Pilgrimage or named external rite,A competent House actor accepts a pilgrimage or event-owned rite requiring presence elsewhere.,named_journey,named_observant_or_house_representative,principal; close kin selected for rite; chaplain; guardian/escort where required,pilgrimage_or_rite_party,actual_admitted_presence_at_departure_cutpoint,"recognized shrine, church, cathedral, monastery, or event venue",rite/observance window,institution/venue acceptance where required,return_or_onward,"health, route, rite competence, support, or authority fails",rite attendance; hosting/support; Knowledge; piety/ART evidence where attributable,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-051,courtos.responsibility.household_observance_chaplaincy,courtos.responsibility.household_observance_chaplaincy,church_and_rite,Chaplain or observance service circuit,One chaplain/owner serves multiple admitted House residences or observance settings.,derived_service_mobility,assigned_chaplain_or_owner,chaplain/owner and assigned support,light_service_circuit,actual_admitted_presence_at_departure_cutpoint,assigned House observance locations,annual observance calendar,Church competence and site access required,coverage_completed_or_undercovered,"distance, competing rites, or absence makes coverage infeasible",PAS/presence; observance coverage; event/report evidence,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-052,courtos.responsibility.church_rights_institutional_affairs,courtos.responsibility.church_rights_institutional_affairs,church_and_rite,"Church appearance, recognition, institution, or patronage-right visit",An exact right/instrument or active formal case requires a named House representative to appear.,named_journey,competent_house_representative,right holder/representative; clerk/chaplain; interested person only when the case requires,church_legal_party,actual_admitted_presence_at_departure_cutpoint,competent Church institution/seat,case/instrument window,"Church competence, access, and receiving process required",return_or_onward,"jurisdiction, access, evidence, route, or representation authority fails",case/right/recognition result; Knowledge; possible instrument and ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-053,courtos.responsibility.church_rights_institutional_affairs,courtos.responsibility.records_archives,church_and_rite,Physical Church record verification,A consequential vital/kinship/recognition question cannot be cured by ordinary House-Church correspondence.,named_journey,competent_records_or_church_affairs_actor,records owner or Church-affairs representative; subject/witness only if required,individual_or_light_party,actual_admitted_presence_at_departure_cutpoint,"competent parish, monastery, cathedral, or diocesan archive",decision/case deadline,Church custodian access/appointment required,return,"record location, competence, access, or route is unresolved",record comparison/provenance; Knowledge; referral or ordinary cure,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-054,courtos.responsibility.church_rights_institutional_affairs,courtos.responsibility.church_rights_institutional_affairs,church_and_rite,Routine parish and Church relationship administration,"The House handles ordinary support, records requests, patronage communication, and observance locally or by correspondence.",local_or_remote_no_journey,assigned_owner,owner/supporter at current location,not_applicable,actual_admitted_presence_at_departure_cutpoint,home parish or remote institution,ordinary annual/triennial work,Church retains autonomous service and record authority,report_or_matter,"right, recognition, record, or relationship issue becomes consequential",Church relationship/right evidence; correspondence; no travel,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-055,courtos.responsibility.office_post_appointments,courtos.responsibility.office_post_appointments,office_and_tenure,"Office assumption, oath, investiture, or handover","An appointment/removal is valid and the post requires physical assumption, oath, custody, or handover at another location.",named_journey,incoming_or_outgoing_officeholder,incoming holder; outgoing holder if handover; appointing representative; witness/chaplain/clerk only if required,office_transfer_party,actual_admitted_presence_at_departure_cutpoint,exact post/custody/authority location,appointment effective and handover window,appointing/receiving authority and site access required,remain_return_or_onward,"authority, predecessor handover, route, residence, or custody fails",post/office handover; service/residence; custody; PAS/presence; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-056,courtos.responsibility.office_post_appointments,courtos.responsibility.adult_kin_support,office_and_tenure,Service-residence move following appointment,A valid post requires or supports a residence change distinct from the office handover itself.,named_journey,officeholder_changing_residence,officeholder; spouse/dependants included by support arrangement; escort,household_transfer,actual_admitted_presence_at_departure_cutpoint,admitted service residence,appointment/service effective month,support/residence and receiving accountability required,remain,"residence, support, route, or family disposition is unresolved",residence/support/Household change; office availability; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-057,courtos.responsibility.office_post_appointments,courtos.responsibility.office_post_appointments,office_and_tenure,Same-site appointment or removal,"The valid office change requires no physical relocation, handover trip, or external appearance.",local_or_remote_no_journey,incoming_or_outgoing_holder,local parties only,not_applicable,actual_admitted_presence_at_departure_cutpoint,current location,effective cutpoint,local authority/custody rules still apply,office_changed,handover or custody unexpectedly requires presence elsewhere,office/post receipt; no travel,False,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-058,proceeding.justice_case_proceeding,proceeding.justice_case_proceeding,justice,Named court or legal appearance,"A competent case requires a named party, representative, witness, or officer to appear and ordinary written process is insufficient.",named_journey,required_party_or_representative,party; representative; witness; clerk; officer; escort where required,legal_appearance_party,actual_admitted_presence_at_departure_cutpoint,competent court/venue,procedural date/window,court competence controls; host/lodging still required for stay,return_or_onward,"service, jurisdiction, authority, route, custody, or appearance fails",appearance/evidence/procedure result; hosting; PAS/presence; Knowledge and ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-059,proceeding.coercive_enforcement_episode,proceeding.justice_case_proceeding,justice,"Prisoner, remedy, asset, or enforcement transfer",An admitted justice result authorizes a time-bounded enforcement or custody movement.,named_journey,named_subject_or_commanding_officer,prisoner/protected person; commanding officer; custodian; required witness/representative,protected_transfer,actual_admitted_presence_at_departure_cutpoint,exact custody/remedy destination,order deadline/window,independent lawful authority and receiving custody required,remain_return_or_onward,"authority, resistance, route, custody, or proportionality fails",enforcement/custody/remedy result; loss/injury; PAS/presence; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-060,proceeding.succession_regency_review_proceeding,proceeding.succession_regency_review_proceeding,authority_continuity,"Succession, regency, custody, or protected-person handover","An admitted life/authority event changes custody, acting authority, or required residence and physical handover is necessary.",named_journey,person_or_authority_subject_to_handover,minor/protected person; guardian/regent; custodian; acting authority; escort; witness where required,protected_transfer,actual_admitted_presence_at_departure_cutpoint,admitted custody/authority residence or court,continuity-review effective window,competent receiving authority/custody required,remain_return_or_onward,"authority, custody, residence, route, or support is disputed/unresolved",authority/custody/presence; delegation review; Household support; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-061,event.ceremony_event_presentation,event.ceremony_event_presentation,ceremony,"Death observance, memorial, or other event-owned attendance",A real death/rite/honour event identifies eligible attendees and a House accepts consequential attendance elsewhere.,named_journey,selected_attendee_or_required_participant,close kin; liege/representative; chaplain; officeholder or honouree only where event requires,ceremonial_retinue,actual_admitted_presence_at_departure_cutpoint,event-owned venue,event date/window after notice and route feasibility,venue/host/Church acceptance as applicable,return_or_onward,"notice, health, route, timing, or authority prevents attendance",attendance/absence; hosting/material support; Knowledge; ART evidence,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
JRN-062,proceeding.tenure_change_proceeding,proceeding.tenure_change_proceeding,office_and_tenure,"Tenure grant, homage, seisin, regrant, or possession transfer","A competent tenure proceeding reaches a stage requiring presence, handover, or possession at another location.",named_journey,grantee_holder_or_competent_representative,grantor representative; grantee/holder; heir/guardian; witness/clerk; escort where needed,office_transfer_party,actual_admitted_presence_at_departure_cutpoint,"competent court, tenure site, or possession location",instrument effective/handover window,legal authority and receiving possession/custody required,remain_return_or_onward,"approval, right, possession, route, or handover fails",tenure/possession/office/residence evidence; ART consequences,True,True,False,requirements_and_readiness_only_no_journey_execution_no_person_movement_no_presence_mutation_no_route_promotion_no_lodging_admission_no_hosting_history_no_gl_or_resource_mutation_no_runtime_schema_ui_fixture_or_golden
